EKİN TÜRÜ,TOPRAK TİPİ,BÖLGE,SICAKLIK,HAVA DURUMU,SU İHTİYACI
Fasulye,Islak,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu,0.4
Fasulye,Islak,İç ve Doğu Anadolu Bölgesi,30-40,Normal,6.2
Fasulye,Islak,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli,7.7
Fasulye,Islak,İç ve Doğu Anadolu Bölgesi,30-40,Ruzgarlı,7.2
Fasulye,Islak,İç ve Doğu Anadolu Bölgesi,30-40,Yağmurlu,0.5
Fasulye,Islak,İç ve Doğu Anadolu Bölgesi,40-50,Normal,7.3
Fasulye,Islak,İç ve Doğu Anadolu Bölgesi,40-50,Güneşli,8.8
Fasulye,Islak,İç ve Doğu Anadolu Bölgesi,40-50,Ruzgarlı,8.3
Fasulye,Islak,İç ve Doğu Anadolu Bölgesi,40-50,Yağmurlu,0.8
Fasulye,Islak,Akdeniz Bölgesi,10-20,Normal,3.5
Fasulye,Islak,Akdeniz Bölgesi,10-20,Güneşli,5.0
Fasulye,Islak,Akdeniz Bölgesi,10-20,Ruzgarlı,4.5
Fasulye,Islak,Akdeniz Bölgesi,10-20,Yağmurlu,0.1
Fasulye,Islak,Akdeniz Bölgesi,20-30,Normal,4.6
Fasulye,Islak,Akdeniz Bölgesi,20-30,Güneşli,6.1
Fasulye,Islak,Akdeniz Bölgesi,20-30,Ruzgarlı,5.6
Fasulye,Islak,Akdeniz Bölgesi,20-30,Yağmurlu,0.2
Fasulye,Islak,Akdeniz Bölgesi,30-40,Normal,5.7
Fasulye,Islak,Akdeniz Bölgesi,30-40,Güneşli,7.2
Fasulye,Islak,Akdeniz Bölgesi,30-40,Ruzgarlı,6.7
Fasulye,Islak,Akdeniz Bölgesi,30-40,Yağmurlu,0.3
Fasulye,Islak,Akdeniz Bölgesi,40-50,Normal,6.6
Fasulye,Islak,Akdeniz Bölgesi,40-50,Güneşli,8.1
Fasulye,Islak,Akdeniz Bölgesi,40-50,Ruzgarlı,7.6
Fasulye,Islak,Akdeniz Bölgesi,40-50,Yağmurlu,0.5
Fasulye,Islak,Güneydoğu Anadolu Bölgesi,10-20,Normal,2.6
Fasulye,Islak,Güneydoğu Anadolu Bölgesi,10-20,Güneşli,4.1
Fasulye,Islak,Güneydoğu Anadolu Bölgesi,10-20,Ruzgarlı,3.6
Fasulye,Islak,Güneydoğu Anadolu Bölgesi,10-20,Yağmurlu,0.1
Fasulye,Islak,Güneydoğu Anadolu Bölgesi,20-30,Normal,3.6
Fasulye,Islak,Güneydoğu Anadolu Bölgesi,20-30,Güneşli,5.1
Fasulye,Islak,Güneydoğu Anadolu Bölgesi,20-30,Ruzgarlı,4.6
Fasulye,Islak,Güneydoğu Anadolu Bölgesi,20-30,Yağmurlu,0.1
Fasulye,Islak,Güneydoğu Anadolu Bölgesi,30-40,Normal,4.7
Fasulye,Islak,Güneydoğu Anadolu Bölgesi,30-40,Güneşli,6.2
Fasulye,Islak,Güneydoğu Anadolu Bölgesi,30-40,Ruzgarlı,5.7
Fasulye,Islak,Güneydoğu Anadolu Bölgesi,30-40,Yağmurlu,0.1
Fasulye,Islak,Güneydoğu Anadolu Bölgesi,40-50,Normal,5.6
Fasulye,Islak,Güneydoğu Anadolu Bölgesi,40-50,Güneşli,7.1
Fasulye,Islak,Güneydoğu Anadolu Bölgesi,40-50,Ruzgarlı,6.6
Fasulye,Islak,Güneydoğu Anadolu Bölgesi,40-50,Yağmurlu,0.3
Fasulye,Islak,Marmara Ege Karadeniz Bölgesi,10-20,Normal,1.64
Fasulye,Islak,Marmara Ege Karadeniz Bölgesi,10-20,Güneşli,3.14
Fasulye,Islak,Marmara Ege Karadeniz Bölgesi,10-20,Ruzgarlı,2.6
Fasulye,Islak,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu,0.1
Fasulye,Islak,Marmara Ege Karadeniz Bölgesi,20-30,Normal,2.6
Fasulye,Islak,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli,4.1
Fasulye,Islak,Marmara Ege Karadeniz Bölgesi,20-30,Ruzgarlı,3.6
Fasulye,Islak,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu,0.1
Fasulye,Islak,Marmara Ege Karadeniz Bölgesi,30-40,Normal,3.7
Fasulye,Islak,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli,5.2
Fasulye,Islak,Marmara Ege Karadeniz Bölgesi,30-40,Ruzgarlı,4.6
Fasulye,Islak,Marmara Ege Karadeniz Bölgesi,30-40,Yağmurlu,0.1
Fasulye,Islak,Marmara Ege Karadeniz Bölgesi,40-50,Normal,4.6
Fasulye,Islak,Marmara Ege Karadeniz Bölgesi,40-50,Güneşli,6.1
Fasulye,Islak,Marmara Ege Karadeniz Bölgesi,40-50,Ruzgarlı,5.6
Fasulye,Islak,Marmara Ege Karadeniz Bölgesi,40-50,Yağmurlu,0.1
Lahana,Kuru,İç ve Doğu Anadolu Bölgesi,10-20,Normal,5.5
Lahana,Kuru,İç ve Doğu Anadolu Bölgesi,10-20,Güneşli,7.0
Lahana,Kuru,İç ve Doğu Anadolu Bölgesi,10-20,Ruzgarlı,6.5
Lahana,Kuru,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu,0.2
Lahana,Kuru,İç ve Doğu Anadolu Bölgesi,20-30,Normal,6.5
Lahana,Kuru,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli,8.0
Lahana,Kuru,İç ve Doğu Anadolu Bölgesi,20-30,Ruzgarlı,7.5
Lahana,Kuru,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu,0.5
Lahana,Kuru,İç ve Doğu Anadolu Bölgesi,30-40,Normal,7.0
Lahana,Kuru,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli,8.5
Lahana,Kuru,İç ve Doğu Anadolu Bölgesi,30-40,Ruzgarlı,8.0
Lahana,Kuru,İç ve Doğu Anadolu Bölgesi,30-40,Yağmurlu,0.8
Lahana,Kuru,İç ve Doğu Anadolu Bölgesi,40-50,Normal,8.6
Lahana,Kuru,İç ve Doğu Anadolu Bölgesi,40-50,Güneşli,10.1
Lahana,Kuru,İç ve Doğu Anadolu Bölgesi,40-50,Ruzgarlı,9.6
Lahana,Kuru,İç ve Doğu Anadolu Bölgesi,40-50,Yağmurlu,0.6
Lahana,Kuru,Akdeniz Bölgesi,10-20,Normal,5.05
Lahana,Kuru,Akdeniz Bölgesi,10-20,Güneşli,6.55
Lahana,Kuru,Akdeniz Bölgesi,10-20,Ruzgarlı,6.05
Lahana,Kuru,Akdeniz Bölgesi,10-20,Yağmurlu,0.5
Lahana,Kuru,Akdeniz Bölgesi,20-30,Normal,6.0
Lahana,Kuru,Akdeniz Bölgesi,20-30,Güneşli,7.5
Lahana,Kuru,Akdeniz Bölgesi,20-30,Ruzgarlı,7.0
Lahana,Kuru,Akdeniz Bölgesi,20-30,Yağmurlu,0.5
Lahana,Kuru,Akdeniz Bölgesi,30-40,Normal,7.1
Lahana,Kuru,Akdeniz Bölgesi,30-40,Güneşli,8.6
Lahana,Kuru,Akdeniz Bölgesi,30-40,Ruzgarlı,8.1
Lahana,Kuru,Akdeniz Bölgesi,30-40,Yağmurlu,0.8
Lahana,Kuru,Akdeniz Bölgesi,40-50,Normal,8.0
Lahana,Kuru,Akdeniz Bölgesi,40-50,Güneşli,9.5
Lahana,Kuru,Akdeniz Bölgesi,40-50,Ruzgarlı,9.0
Lahana,Kuru,Akdeniz Bölgesi,40-50,Yağmurlu,0.8
Lahana,Kuru,Güneydoğu Anadolu Bölgesi,10-20,Normal,4.4
Lahana,Kuru,Güneydoğu Anadolu Bölgesi,10-20,Güneşli,5.9
Lahana,Kuru,Güneydoğu Anadolu Bölgesi,10-20,Ruzgarlı,5.5
Lahana,Kuru,Güneydoğu Anadolu Bölgesi,10-20,Yağmurlu,0.2
Lahana,Kuru,Güneydoğu Anadolu Bölgesi,20-30,Normal,5.3
Lahana,Kuru,Güneydoğu Anadolu Bölgesi,20-30,Güneşli,6.8
Lahana,Kuru,Güneydoğu Anadolu Bölgesi,20-30,Ruzgarlı,6.3
Lahana,Kuru,Güneydoğu Anadolu Bölgesi,20-30,Yağmurlu,0.3
Lahana,Kuru,Güneydoğu Anadolu Bölgesi,30-40,Normal,6.2
Lahana,Kuru,Güneydoğu Anadolu Bölgesi,30-40,Güneşli,7.7
Lahana,Kuru,Güneydoğu Anadolu Bölgesi,30-40,Ruzgarlı,7.2
Lahana,Kuru,Güneydoğu Anadolu Bölgesi,30-40,Yağmurlu,0.5
Lahana,Kuru,Güneydoğu Anadolu Bölgesi,40-50,Normal,7.5
Lahana,Kuru,Güneydoğu Anadolu Bölgesi,40-50,Güneşli,9.0
Lahana,Kuru,Güneydoğu Anadolu Bölgesi,40-50,Ruzgarlı,8.5
Lahana,Kuru,Güneydoğu Anadolu Bölgesi,40-50,Yağmurlu,0.8
Lahana,Kuru,Marmara Ege Karadeniz Bölgesi,10-20,Normal,3.6
Lahana,Kuru,Marmara Ege Karadeniz Bölgesi,10-20,Güneşli,5.1
Lahana,Kuru,Marmara Ege Karadeniz Bölgesi,10-20,Ruzgarlı,4.6
Lahana,Kuru,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu,0.1
Lahana,Kuru,Marmara Ege Karadeniz Bölgesi,20-30,Normal,4.5
Lahana,Kuru,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli,6.0
Lahana,Kuru,Marmara Ege Karadeniz Bölgesi,20-30,Ruzgarlı,5.5
Lahana,Kuru,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu,0.2
Lahana,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Normal,5.6
Lahana,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli,7.1
Lahana,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Ruzgarlı,6.6
Lahana,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Yağmurlu,0.2
Lahana,Kuru,Marmara Ege Karadeniz Bölgesi,40-50,Normal,6.6
Lahana,Kuru,Marmara Ege Karadeniz Bölgesi,40-50,Güneşli,8.1
Lahana,Kuru,Marmara Ege Karadeniz Bölgesi,40-50,Ruzgarlı,7.6
Lahana,Kuru,Marmara Ege Karadeniz Bölgesi,40-50,Yağmurlu,0.5
Lahana,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal,4.2
Lahana,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Güneşli,5.7
Lahana,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Ruzgarlı,5.2
Lahana,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu,0.2
Lahana,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal,5.3
Lahana,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli,6.8
Lahana,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Ruzgarlı,6.3
Lahana,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu,0.3
Lahana,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Normal,6.2
Lahana,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli,7.7
Lahana,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Ruzgarlı,7.2
Lahana,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Yağmurlu,0.5
Lahana,Nemli,İç ve Doğu Anadolu Bölgesi,40-50,Normal,7.4
Lahana,Nemli,İç ve Doğu Anadolu Bölgesi,40-50,Güneşli,8.9
Lahana,Nemli,İç ve Doğu Anadolu Bölgesi,40-50,Ruzgarlı,8.4
Lahana,Nemli,İç ve Doğu Anadolu Bölgesi,40-50,Yağmurlu,0.8
Lahana,Nemli,Akdeniz Bölgesi,10-20,Normal,3.7
Lahana,Nemli,Akdeniz Bölgesi,10-20,Güneşli,5.2
Lahana,Nemli,Akdeniz Bölgesi,10-20,Ruzgarlı,4.7
Lahana,Nemli,Akdeniz Bölgesi,10-20,Yağmurlu,0.1
Lahana,Nemli,Akdeniz Bölgesi,20-30,Normal,4.6
Lahana,Nemli,Akdeniz Bölgesi,20-30,Güneşli,6.1
Lahana,Nemli,Akdeniz Bölgesi,20-30,Ruzgarlı,5.6
Lahana,Nemli,Akdeniz Bölgesi,20-30,Yağmurlu,0.2
Lahana,Nemli,Akdeniz Bölgesi,30-40,Normal,5.5
Lahana,Nemli,Akdeniz Bölgesi,30-40,Güneşli,7.0
Lahana,Nemli,Akdeniz Bölgesi,30-40,Ruzgarlı,6.5
Lahana,Nemli,Akdeniz Bölgesi,30-40,Yağmurlu,0.3
Lahana,Nemli,Akdeniz Bölgesi,40-50,Normal,6.6
Lahana,Nemli,Akdeniz Bölgesi,40-50,Güneşli,8.1
Lahana,Nemli,Akdeniz Bölgesi,40-50,Ruzgarlı,7.6
Lahana,Nemli,Akdeniz Bölgesi,40-50,Yağmurlu,0.5
Lahana,Nemli,Güneydoğu Anadolu Bölgesi,10-20,Normal,3.1
Lahana,Nemli,Güneydoğu Anadolu Bölgesi,10-20,Güneşli,4.6
Lahana,Nemli,Güneydoğu Anadolu Bölgesi,10-20,Ruzgarlı,4.1
Lahana,Nemli,Güneydoğu Anadolu Bölgesi,10-20,Yağmurlu,0.1
Lahana,Nemli,Güneydoğu Anadolu Bölgesi,20-30,Normal,4.2
Lahana,Nemli,Güneydoğu Anadolu Bölgesi,20-30,Güneşli,5.7
Lahana,Nemli,Güneydoğu Anadolu Bölgesi,20-30,Ruzgarlı,5.2
Lahana,Nemli,Güneydoğu Anadolu Bölgesi,20-30,Yağmurlu,0.2
Lahana,Nemli,Güneydoğu Anadolu Bölgesi,30-40,Normal,5.1
Lahana,Nemli,Güneydoğu Anadolu Bölgesi,30-40,Güneşli,6.6
Lahana,Nemli,Güneydoğu Anadolu Bölgesi,30-40,Ruzgarlı,6.1
Lahana,Nemli,Güneydoğu Anadolu Bölgesi,30-40,Yağmurlu,0.3
Lahana,Nemli,Güneydoğu Anadolu Bölgesi,40-50,Normal,6.0
Lahana,Nemli,Güneydoğu Anadolu Bölgesi,40-50,Güneşli,7.5
Lahana,Nemli,Güneydoğu Anadolu Bölgesi,40-50,Ruzgarlı,7.0
Lahana,Nemli,Güneydoğu Anadolu Bölgesi,40-50,Yağmurlu,0.5
Lahana,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal,2.3
Lahana,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Güneşli,3.8
Lahana,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Ruzgarlı,3.3
Lahana,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu,0.1
Lahana,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal,3.33
Lahana,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli,4.8
Lahana,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Ruzgarlı,4.3
Lahana,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu,0.1
Lahana,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Normal,4.33
Lahana,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli,5.8
Lahana,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Ruzgarlı,5.3
Lahana,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Yağmurlu,0.2
Lahana,Nemli,Marmara Ege Karadeniz Bölgesi,40-50,Normal,5.33
Lahana,Nemli,Marmara Ege Karadeniz Bölgesi,40-50,Güneşli,6.8
Lahana,Nemli,Marmara Ege Karadeniz Bölgesi,40-50,Ruzgarlı,6.3
Lahana,Nemli,Marmara Ege Karadeniz Bölgesi,40-50,Yağmurlu,0.3
Lahana,Islak,İç ve Doğu Anadolu Bölgesi,10-20,Normal,3.33
Lahana,Islak,İç ve Doğu Anadolu Bölgesi,10-20,Güneşli,4.8
Lahana,Islak,İç ve Doğu Anadolu Bölgesi,10-20,Ruzgarlı,4.3
Lahana,Islak,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu,0.1
Lahana,Islak,İç ve Doğu Anadolu Bölgesi,20-30,Normal,4.33
Lahana,Islak,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli,5.8
Lahana,Islak,İç ve Doğu Anadolu Bölgesi,20-30,Ruzgarlı,5.3
Lahana,Islak,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu,0.2
Lahana,Islak,İç ve Doğu Anadolu Bölgesi,30-40,Normal,5.33
Lahana,Islak,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli,6.8
Lahana,Islak,İç ve Doğu Anadolu Bölgesi,30-40,Ruzgarlı,6.3
Lahana,Islak,İç ve Doğu Anadolu Bölgesi,30-40,Yağmurlu,0.3
Lahana,Islak,İç ve Doğu Anadolu Bölgesi,40-50,Normal,6.33
Lahana,Islak,İç ve Doğu Anadolu Bölgesi,40-50,Güneşli,7.8
Lahana,Islak,İç ve Doğu Anadolu Bölgesi,40-50,Ruzgarlı,7.3
Lahana,Islak,İç ve Doğu Anadolu Bölgesi,40-50,Yağmurlu,0.5
Lahana,Islak,Akdeniz Bölgesi,10-20,Normal,2.83
Lahana,Islak,Akdeniz Bölgesi,10-20,Güneşli,4.33
Lahana,Islak,Akdeniz Bölgesi,10-20,Ruzgarlı,3.83
Lahana,Islak,Akdeniz Bölgesi,10-20,Yağmurlu,0.1
Lahana,Islak,Akdeniz Bölgesi,20-30,Normal,3.83
Lahana,Islak,Akdeniz Bölgesi,20-30,Güneşli,5.33
Lahana,Islak,Akdeniz Bölgesi,20-30,Ruzgarlı,4.83
Lahana,Islak,Akdeniz Bölgesi,20-30,Yağmurlu,0.1
Lahana,Islak,Akdeniz Bölgesi,30-40,Normal,4.83
Lahana,Islak,Akdeniz Bölgesi,30-40,Güneşli,6.33
Lahana,Islak,Akdeniz Bölgesi,30-40,Ruzgarlı,5.83
Lahana,Islak,Akdeniz Bölgesi,30-40,Yağmurlu,0.2
Lahana,Islak,Akdeniz Bölgesi,40-50,Normal,5.83
Lahana,Islak,Akdeniz Bölgesi,40-50,Güneşli,7.33
Lahana,Islak,Akdeniz Bölgesi,40-50,Ruzgarlı,6.83
Lahana,Islak,Akdeniz Bölgesi,40-50,Yağmurlu,0.3
Lahana,Islak,Güneydoğu Anadolu Bölgesi,10-20,Normal,2.16
Lahana,Islak,Güneydoğu Anadolu Bölgesi,10-20,Güneşli,3.66
Lahana,Islak,Güneydoğu Anadolu Bölgesi,10-20,Ruzgarlı,3.16
Lahana,Islak,Güneydoğu Anadolu Bölgesi,10-20,Yağmurlu,0.1
Lahana,Islak,Güneydoğu Anadolu Bölgesi,20-30,Normal,3.16
Lahana,Islak,Güneydoğu Anadolu Bölgesi,20-30,Güneşli,4.66
Lahana,Islak,Güneydoğu Anadolu Bölgesi,20-30,Ruzgarlı,4.16
Lahana,Islak,Güneydoğu Anadolu Bölgesi,20-30,Yağmurlu,0.1
Lahana,Islak,Güneydoğu Anadolu Bölgesi,30-40,Normal,4.16
Lahana,Islak,Güneydoğu Anadolu Bölgesi,30-40,Güneşli,5.66
Lahana,Islak,Güneydoğu Anadolu Bölgesi,30-40,Ruzgarlı,5.16
Lahana,Islak,Güneydoğu Anadolu Bölgesi,30-40,Yağmurlu,0.2
Lahana,Islak,Güneydoğu Anadolu Bölgesi,40-50,Normal,5.16
Lahana,Islak,Güneydoğu Anadolu Bölgesi,40-50,Güneşli,6.66
Lahana,Islak,Güneydoğu Anadolu Bölgesi,40-50,Ruzgarlı,6.16
Lahana,Islak,Güneydoğu Anadolu Bölgesi,40-50,Yağmurlu,0.3
Lahana,Islak,Marmara Ege Karadeniz Bölgesi,10-20,Normal,1.33
Lahana,Islak,Marmara Ege Karadeniz Bölgesi,10-20,Güneşli,2.83
Lahana,Islak,Marmara Ege Karadeniz Bölgesi,10-20,Ruzgarlı,2.33
Lahana,Islak,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu,0.1
Lahana,Islak,Marmara Ege Karadeniz Bölgesi,20-30,Normal,2.33
Lahana,Islak,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli,3.83
Lahana,Islak,Marmara Ege Karadeniz Bölgesi,20-30,Ruzgarlı,3.33
Lahana,Islak,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu,0.1
Lahana,Islak,Marmara Ege Karadeniz Bölgesi,30-40,Normal,3.33
Lahana,Islak,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli,4.83
Lahana,Islak,Marmara Ege Karadeniz Bölgesi,30-40,Ruzgarlı,4.33
Lahana,Islak,Marmara Ege Karadeniz Bölgesi,30-40,Yağmurlu,0.1
Lahana,Islak,Marmara Ege Karadeniz Bölgesi,40-50,Normal,4.33
Lahana,Islak,Marmara Ege Karadeniz Bölgesi,40-50,Güneşli,5.83
Lahana,Islak,Marmara Ege Karadeniz Bölgesi,40-50,Ruzgarlı,5.33
Lahana,Islak,Marmara Ege Karadeniz Bölgesi,40-50,Yağmurlu,0.2
POTATO,Kuru,İç ve Doğu Anadolu Bölgesi,10-20,Normal,8.5
POTATO,Kuru,İç ve Doğu Anadolu Bölgesi,10-20,Güneşli,10.0
POTATO,Kuru,İç ve Doğu Anadolu Bölgesi,10-20,Ruzgarlı,9.5
POTATO,Kuru,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu,0.5
POTATO,Kuru,İç ve Doğu Anadolu Bölgesi,20-30,Normal,9.5
POTATO,Kuru,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli,11.0
POTATO,Kuru,İç ve Doğu Anadolu Bölgesi,20-30,Ruzgarlı,10.5
POTATO,Kuru,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu,1.5
POTATO,Kuru,İç ve Doğu Anadolu Bölgesi,30-40,Normal,10.7
POTATO,Kuru,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli,12.2
POTATO,Kuru,İç ve Doğu Anadolu Bölgesi,30-40,Ruzgarlı,11.7
POTATO,Kuru,İç ve Doğu Anadolu Bölgesi,30-40,Yağmurlu,2.7
POTATO,Kuru,İç ve Doğu Anadolu Bölgesi,40-50,Normal,11.6
POTATO,Kuru,İç ve Doğu Anadolu Bölgesi,40-50,Güneşli,13.1
POTATO,Kuru,İç ve Doğu Anadolu Bölgesi,40-50,Ruzgarlı,12.6
POTATO,Kuru,İç ve Doğu Anadolu Bölgesi,40-50,Yağmurlu,3.6
POTATO,Kuru,Akdeniz Bölgesi,10-20,Normal,7.8
POTATO,Kuru,Akdeniz Bölgesi,10-20,Güneşli,9.3
POTATO,Kuru,Akdeniz Bölgesi,10-20,Ruzgarlı,8.8
POTATO,Kuru,Akdeniz Bölgesi,10-20,Yağmurlu,0.8
POTATO,Kuru,Akdeniz Bölgesi,20-30,Normal,8.8
POTATO,Kuru,Akdeniz Bölgesi,20-30,Güneşli,10.3
POTATO,Kuru,Akdeniz Bölgesi,20-30,Ruzgarlı,9.8
POTATO,Kuru,Akdeniz Bölgesi,20-30,Yağmurlu,0.8
POTATO,Kuru,Akdeniz Bölgesi,30-40,Normal,9.8
POTATO,Kuru,Akdeniz Bölgesi,30-40,Güneşli,11.3
POTATO,Kuru,Akdeniz Bölgesi,30-40,Ruzgarlı,10.8
POTATO,Kuru,Akdeniz Bölgesi,30-40,Yağmurlu,1.8
POTATO,Kuru,Akdeniz Bölgesi,40-50,Normal,10.9
POTATO,Kuru,Akdeniz Bölgesi,40-50,Güneşli,12.4
POTATO,Kuru,Akdeniz Bölgesi,40-50,Ruzgarlı,11.8
POTATO,Kuru,Akdeniz Bölgesi,40-50,Yağmurlu,2.9
POTATO,Kuru,Güneydoğu Anadolu Bölgesi,10-20,Normal,6.75
POTATO,Kuru,Güneydoğu Anadolu Bölgesi,10-20,Güneşli,8.25
POTATO,Kuru,Güneydoğu Anadolu Bölgesi,10-20,Ruzgarlı,7.75
POTATO,Kuru,Güneydoğu Anadolu Bölgesi,10-20,Yağmurlu,0.25
POTATO,Kuru,Güneydoğu Anadolu Bölgesi,20-30,Normal,7.75
POTATO,Kuru,Güneydoğu Anadolu Bölgesi,20-30,Güneşli,9.25
POTATO,Kuru,Güneydoğu Anadolu Bölgesi,20-30,Ruzgarlı,8.75
POTATO,Kuru,Güneydoğu Anadolu Bölgesi,20-30,Yağmurlu,0.8
POTATO,Kuru,Güneydoğu Anadolu Bölgesi,30-40,Normal,8.8
POTATO,Kuru,Güneydoğu Anadolu Bölgesi,30-40,Güneşli,10.3
POTATO,Kuru,Güneydoğu Anadolu Bölgesi,30-40,Ruzgarlı,9.8
POTATO,Kuru,Güneydoğu Anadolu Bölgesi,30-40,Yağmurlu,0.8
POTATO,Kuru,Güneydoğu Anadolu Bölgesi,40-50,Normal,9.75
POTATO,Kuru,Güneydoğu Anadolu Bölgesi,40-50,Güneşli,11.25
POTATO,Kuru,Güneydoğu Anadolu Bölgesi,40-50,Ruzgarlı,10.75
POTATO,Kuru,Güneydoğu Anadolu Bölgesi,40-50,Yağmurlu,1.75
POTATO,Kuru,Marmara Ege Karadeniz Bölgesi,10-20,Normal,5.45
POTATO,Kuru,Marmara Ege Karadeniz Bölgesi,10-20,Güneşli,6.95
POTATO,Kuru,Marmara Ege Karadeniz Bölgesi,10-20,Ruzgarlı,6.45
POTATO,Kuru,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu,0.3
POTATO,Kuru,Marmara Ege Karadeniz Bölgesi,20-30,Normal,6.5
POTATO,Kuru,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli,8.0
POTATO,Kuru,Marmara Ege Karadeniz Bölgesi,20-30,Ruzgarlı,7.5
POTATO,Kuru,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu,0.5
POTATO,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Normal,7.6
POTATO,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli,9.1
POTATO,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Ruzgarlı,8.6
POTATO,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Yağmurlu,0.8
POTATO,Kuru,Marmara Ege Karadeniz Bölgesi,40-50,Normal,8.5
POTATO,Kuru,Marmara Ege Karadeniz Bölgesi,40-50,Güneşli,10.0
POTATO,Kuru,Marmara Ege Karadeniz Bölgesi,40-50,Ruzgarlı,9.5
POTATO,Kuru,Marmara Ege Karadeniz Bölgesi,40-50,Yağmurlu,0.5
POTATO,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal,6.7
POTATO,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Güneşli,8.2
POTATO,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Ruzgarlı,7.7
POTATO,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu,0.5
POTATO,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal,7.7
POTATO,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli,9.2
POTATO,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Ruzgarlı,8.7
POTATO,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu,0.8
POTATO,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Normal,8.7
POTATO,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli,10.2
POTATO,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Ruzgarlı,9.7
POTATO,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Yağmurlu,0.7
POTATO,Nemli,İç ve Doğu Anadolu Bölgesi,40-50,Normal,9.5
POTATO,Nemli,İç ve Doğu Anadolu Bölgesi,40-50,Güneşli,11.0
