Şehir,Ay,Toprak Türü,Bölge,Sıcaklık,Hava Durumu
Giresun,Nisan,Nemli,Karadeniz Bölgesi,20-30,Normal
Giresun,Mayıs,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Giresun,Haziran,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Giresun,Temmuz,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Giresun,Ağustos,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Giresun,Eylül,Nemli,Karadeniz Bölgesi,20-30,Normal
Giresun,Ekim,Nemli,Karadeniz Bölgesi,20-30,Yağmurlu
Giresun,Kasım,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Giresun,Aralık,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Zonguldak,Ocak,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Zonguldak,Şubat,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Zonguldak,Mart,Nemli,Karadeniz Bölgesi,10-20,Normal
Zonguldak,Nisan,Nemli,Karadeniz Bölgesi,20-30,Normal
Zonguldak,Mayıs,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Zonguldak,Haziran,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Zonguldak,Temmuz,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Zonguldak,Ağustos,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Zonguldak,Eylül,Nemli,Karadeniz Bölgesi,20-30,Normal
Zonguldak,Ekim,Nemli,Karadeniz Bölgesi,20-30,Yağmurlu
Zonguldak,Kasım,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Zonguldak,Aralık,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Sinop,Ocak,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Sinop,Şubat,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Sinop,Mart,Nemli,Karadeniz Bölgesi,10-20,Normal
Sinop,Nisan,Nemli,Karadeniz Bölgesi,20-30,Normal
Sinop,Mayıs,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Sinop,Haziran,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Sinop,Temmuz,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Sinop,Ağustos,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Sinop,Eylül,Nemli,Karadeniz Bölgesi,20-30,Normal
Sinop,Ekim,Nemli,Karadeniz Bölgesi,20-30,Yağmurlu
Sinop,Kasım,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Sinop,Aralık,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Amasya,Ocak,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Amasya,Şubat,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Amasya,Mart,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal
Amasya,Nisan,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Amasya,Mayıs,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Amasya,Haziran,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Amasya,Temmuz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Amasya,Ağustos,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Amasya,Eylül,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Amasya,Ekim,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu
Amasya,Kasım,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Amasya,Aralık,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Bolu,Ocak,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Bolu,Şubat,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Bolu,Mart,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal
Bolu,Nisan,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Bolu,Mayıs,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Bolu,Haziran,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Bolu,Temmuz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Bolu,Ağustos,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Bolu,Eylül,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Bolu,Ekim,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu
Bolu,Kasım,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Bolu,Aralık,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Artvin,Ocak,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Artvin,Şubat,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Artvin,Mart,Nemli,Karadeniz Bölgesi,10-20,Normal
Artvin,Nisan,Nemli,Karadeniz Bölgesi,20-30,Normal
Artvin,Mayıs,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Artvin,Haziran,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Artvin,Temmuz,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Artvin,Ağustos,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Artvin,Eylül,Nemli,Karadeniz Bölgesi,20-30,Normal
Artvin,Ekim,Nemli,Karadeniz Bölgesi,20-30,Yağmurlu
Artvin,Kasım,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Artvin,Aralık,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Bartın,Ocak,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Bartın,Şubat,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Bartın,Mart,Nemli,Karadeniz Bölgesi,10-20,Normal
Bartın,Nisan,Nemli,Karadeniz Bölgesi,20-30,Normal
Bartın,Mayıs,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Bartın,Haziran,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Bartın,Temmuz,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Bartın,Ağustos,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Bartın,Eylül,Nemli,Karadeniz Bölgesi,20-30,Normal
Bartın,Ekim,Nemli,Karadeniz Bölgesi,20-30,Yağmurlu
Bartın,Kasım,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Bartın,Aralık,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Bayburt,Ocak,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Bayburt,Şubat,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Bayburt,Mart,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal
Bayburt,Nisan,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Bayburt,Mayıs,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Bayburt,Haziran,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Bayburt,Temmuz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Bayburt,Ağustos,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Bayburt,Eylül,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Bayburt,Ekim,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu
Bayburt,Kasım,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Bayburt,Aralık,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Tokat,Ocak,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Tokat,Şubat,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Tokat,Mart,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal
Tokat,Nisan,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Tokat,Mayıs,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Tokat,Haziran,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Tokat,Temmuz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Tokat,Ağustos,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Tokat,Eylül,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Tokat,Ekim,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu
Tokat,Kasım,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Tokat,Aralık,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Çorum,Ocak,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Çorum,Şubat,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Çorum,Mart,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal
Çorum,Nisan,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Çorum,Mayıs,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Çorum,Haziran,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Çorum,Temmuz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Çorum,Ağustos,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Çorum,Eylül,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Çorum,Ekim,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu
Çorum,Kasım,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Çorum,Aralık,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Kastamonu,Ocak,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Kastamonu,Şubat,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Kastamonu,Mart,Nemli,Karadeniz Bölgesi,10-20,Normal
Kastamonu,Nisan,Nemli,Karadeniz Bölgesi,20-30,Normal
Kastamonu,Mayıs,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Kastamonu,Haziran,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Kastamonu,Temmuz,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Kastamonu,Ağustos,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Kastamonu,Eylül,Nemli,Karadeniz Bölgesi,20-30,Normal
Kastamonu,Ekim,Nemli,Karadeniz Bölgesi,20-30,Yağmurlu
Kastamonu,Kasım,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Kastamonu,Aralık,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Ankara,Ocak,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Ankara,Şubat,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Ankara,Mart,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal
Ankara,Nisan,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Ankara,Mayıs,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Ankara,Haziran,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Ankara,Temmuz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Ankara,Ağustos,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Ankara,Eylül,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Ankara,Ekim,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu
Ankara,Kasım,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Ankara,Aralık,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Konya,Ocak,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Konya,Şubat,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Konya,Mart,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal
Konya,Nisan,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Konya,Mayıs,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Konya,Haziran,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Konya,Temmuz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Konya,Ağustos,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Konya,Eylül,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Konya,Ekim,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu
Konya,Kasım,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Konya,Aralık,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Kayseri,Ocak,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Kayseri,Şubat,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Kayseri,Mart,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal
Kayseri,Nisan,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Kayseri,Mayıs,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Kayseri,Haziran,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Kayseri,Temmuz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Kayseri,Ağustos,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Kayseri,Eylül,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Kayseri,Ekim,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu
Kayseri,Kasım,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Kayseri,Aralık,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Eskişehir,Ocak,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Eskişehir,Şubat,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Eskişehir,Mart,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal
Eskişehir,Nisan,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Eskişehir,Mayıs,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Eskişehir,Haziran,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Eskişehir,Temmuz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Eskişehir,Ağustos,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Eskişehir,Eylül,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Eskişehir,Ekim,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu
Eskişehir,Kasım,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Eskişehir,Aralık,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Kırıkkale,Ocak,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Kırıkkale,Şubat,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Kırıkkale,Mart,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal
Kırıkkale,Nisan,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Kırıkkale,Mayıs,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Kırıkkale,Haziran,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Kırıkkale,Temmuz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Kırıkkale,Ağustos,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Kırıkkale,Eylül,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Kırıkkale,Ekim,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu
Kırıkkale,Kasım,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Kırıkkale,Aralık,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Aksaray,Ocak,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Aksaray,Şubat,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Aksaray,Mart,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal
Aksaray,Nisan,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Aksaray,Mayıs,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Aksaray,Haziran,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Aksaray,Temmuz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Aksaray,Ağustos,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Aksaray,Eylül,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Aksaray,Ekim,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu
Aksaray,Kasım,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Aksaray,Aralık,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Çankırı,Ocak,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Çankırı,Şubat,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Çankırı,Mart,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal
Çankırı,Nisan,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Çankırı,Mayıs,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Çankırı,Haziran,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Çankırı,Temmuz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Çankırı,Ağustos,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Çankırı,Eylül,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Çankırı,Ekim,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu
Çankırı,Kasım,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Çankırı,Aralık,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Karaman,Ocak,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Karaman,Şubat,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Karaman,Mart,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal
Karaman,Nisan,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Karaman,Mayıs,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Karaman,Haziran,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Karaman,Temmuz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Karaman,Ağustos,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Karaman,Eylül,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Karaman,Ekim,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu
Karaman,Kasım,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Karaman,Aralık,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Kırşehir,Ocak,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Kırşehir,Şubat,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Kırşehir,Mart,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal
Kırşehir,Nisan,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Kırşehir,Mayıs,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Kırşehir,Haziran,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Kırşehir,Temmuz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Kırşehir,Ağustos,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Kırşehir,Eylül,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Kırşehir,Ekim,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu
Kırşehir,Kasım,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Kırşehir,Aralık,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Nevşehir,Ocak,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Nevşehir,Şubat,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Nevşehir,Mart,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal
Nevşehir,Nisan,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Nevşehir,Mayıs,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Nevşehir,Haziran,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Nevşehir,Temmuz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Nevşehir,Ağustos,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Nevşehir,Eylül,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Nevşehir,Ekim,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu
Nevşehir,Kasım,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Nevşehir,Aralık,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Sivas,Ocak,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Sivas,Şubat,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Sivas,Mart,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal
Sivas,Nisan,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Sivas,Mayıs,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Sivas,Haziran,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Sivas,Temmuz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Sivas,Ağustos,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Sivas,Eylül,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Sivas,Ekim,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu
Sivas,Kasım,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Sivas,Aralık,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Niğde,Ocak,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Niğde,Şubat,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Niğde,Mart,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal
Niğde,Nisan,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Niğde,Mayıs,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Niğde,Haziran,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Niğde,Temmuz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Niğde,Ağustos,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Niğde,Eylül,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Niğde,Ekim,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu
Niğde,Kasım,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Niğde,Aralık,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Yozgat,Ocak,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Yozgat,Şubat,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Yozgat,Mart,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal
Yozgat,Nisan,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Yozgat,Mayıs,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Yozgat,Haziran,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli
Yozgat,Temmuz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Yozgat,Ağustos,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli
Yozgat,Eylül,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal
Yozgat,Ekim,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu
Yozgat,Kasım,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Yozgat,Aralık,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Rüzgarlı
Bolu,Ocak,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Bolu,Şubat,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Bolu,Mart,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal
Bolu,Nisan,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Bolu,Mayıs,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Bolu,Haziran,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Bolu,Temmuz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Bolu,Ağustos,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Bolu,Eylül,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Bolu,Ekim,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu
Bolu,Kasım,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Bolu,Aralık,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Düzce,Ocak,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Düzce,Şubat,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Düzce,Mart,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal
Düzce,Nisan,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Düzce,Mayıs,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Düzce,Haziran,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Düzce,Temmuz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Düzce,Ağustos,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Düzce,Eylül,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Düzce,Ekim,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu
Düzce,Kasım,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Düzce,Aralık,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Erzurum,Ocak,Kuru,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
Erzurum,Şubat,Kuru,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu
